Using device: cuda
Run 185/200 ----------------------------------
Subset Accuracy: 0.8332
Training Accuracy: 0.9362
Run 186/200 ----------------------------------
Subset Accuracy: 0.7762
Training Accuracy: 0.8071
Run 187/200 ----------------------------------
Subset Accuracy: 0.8476
Training Accuracy: 0.9404
Run 188/200 ----------------------------------
Subset Accuracy: 0.8180
Training Accuracy: 0.8851
Run 189/200 ----------------------------------
Subset Accuracy: 0.8326
Training Accuracy: 0.9186
Run 190/200 ----------------------------------
Subset Accuracy: 0.8298
Training Accuracy: 0.9153
Run 191/200 ----------------------------------
Subset Accuracy: 0.8254
Training Accuracy: 0.8834
Run 192/200 ----------------------------------
Subset Accuracy: 0.8474
Training Accuracy: 0.9421
Run 193/200 ----------------------------------
Subset Accuracy: 0.8394
Training Accuracy: 0.9131
Run 194/200 ----------------------------------
Subset Accuracy: 0.1628
Training Accuracy: 0.1654
Run 195/200 ----------------------------------
Subset Accuracy: 0.8300
Training Accuracy: 0.9172
Run 196/200 ----------------------------------
Subset Accuracy: 0.8446
Training Accuracy: 0.9164
Run 197/200 ----------------------------------
Subset Accuracy: 0.2784
Training Accuracy: 0.2773
Run 198/200 ----------------------------------
Subset Accuracy: 0.7510
Training Accuracy: 0.7792
Run 199/200 ----------------------------------
Subset Accuracy: 0.1014
Training Accuracy: 0.0998
Run 200/200 ----------------------------------
Subset Accuracy: 0.8144
Training Accuracy: 0.8869
-----
 the average number of times each image is predicted is 200.0
with min=200 and max=200
-----
